Endereços,Descrições,Metros Quadrados,Quartos,Banheiros,Vagas,Atributos,Preços
"Rua Sena Madureira, 80 - Vila Mariana, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 55",  55,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Varanda', 'Ar-condicionado', 'Área de serviço', '...']",   R$ 4.200 /Mês 
"Rua Faustolo - Lapa, São Paulo - SP","Apartamento com 3 Quartos para Aluguel, 84",  84,  3,  2,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Academia', '...']",   R$ 5.450 /Mês 
"Rua das Fiandeiras, 306 - Itaim Bibi, São Paulo - SP","Sala/Conjunto    para Aluguel, 41",  41,,  2,  1,['Ar-condicionado'],   R$ 3.200 /Mês 
"Araçagy, São José de Ribamar - MA","Sala/Conjunto    para Aluguel, 25",  25,,  --,  --,,   R$ 1.000 /Mês 
"Rua Joaquim Guarani, 485 - Chácara Santo Antônio, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 70",  70,  2,  2,  1,"['Ar-condicionado', 'Interfone', 'Área de serviço']",   R$ 6.199 /Mês  Preço abaixo do mercado  
"Avenida Atlântica, 2554 - Frente Mar Centro, Balneário Camboriú - SC","Apartamento com 4 Quartos para Aluguel, 210",  210,  4,  3,  1,"['Mobiliado', 'Elevador', 'Aceita animais', 'Ar-condicionado', 'Portaria 24h', '...']",   R$ 2.000 /Dia 
"Rua Zilda dos Reis Fernandes, 9999 - Parque Residencial Dignidade, São José do Rio Preto - SP","Casa com 2 Quartos para Aluguel, 80",  80,  2,  2,  2,,   R$ 1.150 /Mês 
"Rua Maracaí, 1 - Aclimação, São Paulo - SP","Apartamento com  Quarto para Aluguel, 43",  43,  1,  1,  1,"['Academia', 'Piscina', 'Quadra poliesportiva', 'Salão de festas']",   R$ 2.300 /Mês 
"Avenida General Francisco Glicério - José Menino, Santos - SP","Apartamento com  Quarto para Venda/Aluguel 80",  80,  1,  1,  1,"['Churrasqueira', 'Elevador', 'Playground', 'Salão de festas', 'Quadra poliesportiva', '...']",   R$ 3.000 /Mês  Preço abaixo do mercado  
"Rua Américo Brasiliense, 1349 - Chácara Santo Antônio, São Paulo - SP","Apartamento com 3 Quartos para Aluguel, 83",  83,  3,  2,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Academia', 'Garagem', '...']",   R$ 4.500 /Mês 
"Avenida Presidente Juscelino Kubitschek, 1545 - Vila Olímpia, São Paulo - SP","Apartamento com  Quarto para Aluguel, 54",  54,  1,  1,  1,"['Salão de jogos', 'Salão de festas', 'Área de serviço']",   R$ 11.098 /Mês 
"Rua Constantino Cherubini, 9999 - Jardim Nazareth, São José do Rio Preto - SP","Casa com 3 Quartos para Aluguel, 130",  130,  3,  2,  2,,   R$ 1.200 /Mês 
"Avenida João Cabral de Mello Neto, 850 - Barra da Tijuca, Rio de Janeiro - RJ","Sala/Conjunto    para Venda/Aluguel 36",  36,,  1,  1,['Ar-condicionado'],   R$ 1.600 /Mês 
"Rua Tereza Mota Valadares - Buritis, Belo Horizonte - MG","Apartamento com 3 Quartos para Aluguel, 110",  110,  3,  3,  3,"['Varanda', 'Garagem', 'Cozinha', 'Interfone', 'Elevador']",   R$ 3.500 /Mês 
"Avenida André Terra, 471 - Unamar, Cabo Frio - RJ","Casa com 2 Quartos para Aluguel, 90",  90,  2,  1,  2,"['Piscina para adulto', 'Piscina privativa', 'Aceita animais']",   R$ 1.400 /Mês 
"Rua Carlotinha Brito, 2151 - Colorado, Teresina - PI","Apartamento com 2 Quartos para Aluguel, 49",  49,  2,  2,  1,"['Mobiliado', 'Condomínio fechado', 'Aceita animais', 'Bicicletário', 'Portaria 24h', '...']",   R$ 1.100 /Mês 
"Pituba, Salvador - BA","Apartamento com  Quarto para Aluguel, 40",  40,  1,  1,  1,"['Elevador', 'Piscina', 'Salão de festas', 'Área de serviço']",   R$ 1.964 /Mês 
"Santa Mônica, Uberlândia - MG","Apartamento com 3 Quartos para Aluguel, 104",  104,  3,  2,  2,,   R$ 2.500 /Mês 
"Chácaras Reunidas Canadá, Santa Isabel - SP","Fazenda/Sítio/Chácara com 2 Quartos para Aluguel, 1500",  1500,  2,  --,  5,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Quintal', 'Ar-condicionado', '...']",   R$ 1.430 /Mês 
"Santa Mônica, Uberlândia - MG","Apartamento com 2 Quartos para Aluguel, 60",  60,  2,  2,  1,,   R$ 1.100 /Mês 
"Rua Presidente Roosevelt, 416 - Centro, São Leopoldo - RS","Ponto comercial/Loja/Box    para Aluguel, 52",  52,,  1,  --,,   R$ 1.700 /Mês 
"Avenida Moinho Fabrini, 339 - Independência, São Bernardo do Campo - SP","Apartamento com 2 Quartos à Venda/Aluguel 81",  81,  2,  2,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Academia', '...']",   R$ 3.700 /Mês 
"Rua Sinfonia Popular - Jardim Santa Francisca Cabrini, São Paulo - SP","Apartamento com  Quarto para Aluguel, 55",  55,  1,  1,  1,,   R$ 1.650 /Mês 
"Avenida Quinze de Novembro, 413 - Centro, Ferraz de Vasconcelos - SP","Sala/Conjunto    para Aluguel, 54",  54,,  1,  --,,   R$ 1.500 /Mês 
"Rua Apinajés, 445 - Perdizes, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 112",  112,  2,  3,  2,"['Elevador', 'Aceita animais', 'Ar-condicionado', 'Área de serviço', 'Portaria 24h', '...']",   R$ 5.500 /Mês 
"Gleba Fazenda Palhano, Londrina - PR","Apartamento com 3 Quartos para Aluguel, 81",  81,  3,  2,  1,"['Churrasqueira', 'Salão de jogos', 'Salão de festas', 'Armário embutido']",   R$ 2.900 /Mês 
"Vila Diniz, São José do Rio Preto - SP","Casa com 3 Quartos para Aluguel, 100",  100,  3,  1,  1,['Área de serviço'],   R$ 980 /Mês 
"Rua Vera Paranaguá de Souza Dantas, 342 - Jardim Arpoador Zona Oeste, São Paulo - SP","Casa com  Quarto para Aluguel, 50",  50,  1,  1,  1,"['Entrada lateral', 'Ronda/Vigilância', 'Área de serviço', 'Piso frio', 'Aceita animais']",   R$ 1.300 /Mês 
"Rua Maria Otília - Vila Regente Feijó, São Paulo - SP","Apartamento com  Quarto para Aluguel, 43",  43,  1,  1,  1,"['Piscina', 'Mobiliado', 'Elevador', 'Academia', 'Portaria 24h', '...']",   R$ 3.600 /Mês 
"Rua Ibia - Turiaçu, Rio de Janeiro - RJ","Apartamento com 2 Quartos para Aluguel, 62",  62,  2,  2,  1,"['Mobiliado', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Varanda', '...']",   R$ 850 /Mês 
"Rua Fortaleza, 340 - Alto da Glória, Goiânia - GO","Apartamento com 2 Quartos para Aluguel, 78",  78,  2,  3,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Condomínio fechado', '...']",   R$ 4.000 /Mês 
"Rua Pedro Freitas Alves, 0 - Jamil Seme Cury, Ribeirão Preto - SP","Casa com 2 Quartos para Aluguel, 62",  62,  2,  1,  2,"['Cozinha', 'Perto de vias de acesso', 'Área de serviço']",   R$ 1.100 /Mês 
"Avenida Agenor Couto de Magalhães, 222 - Pirituba, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 60",  60,  2,  1,  1,,   R$ 2.500 /Mês 
"Estrada para CATRE - Emaús, Parnamirim - RN","Apartamento com 2 Quartos para Aluguel, 44",  44,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Academia', 'Garagem', '...']",   R$ 1.300 /Mês 
"Rua da Dica, 01 - Nossa Senhora de Aparecida, Manaus - AM","Prédio/Edifício inteiro    para Aluguel, 400",  400,,  --,  --,,   R$ 7.000 /Mês 
"Rua Luís Correia de Melo, 250 - Vila Cruzeiro, São Paulo - SP","Apartamento com  Quarto para Aluguel, 45",  45,  1,  1,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Condomínio fechado', '...']",   R$ 3.600 /Mês 
"Jardim do Shopping, Caxias do Sul - RS","Apartamento com 2 Quartos para Aluguel, 85",  85,  2,  2,  2,"['Cozinha', 'Varanda']",   R$ 1.250 /Mês 
"Rua Antonio Matheus Sobrinho, 145 - Santa Claudina, Vinhedo - SP","Apartamento com 2 Quartos para Venda/Aluguel 88",  88,  2,  2,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Varanda', '...']",   R$ 2.170 /Mês  Preço abaixo do mercado  
"Centro, Valinhos - SP","Sala/Conjunto com 3 Quartos para Venda/Aluguel 129",  129,  3,  4,  2,,   R$ 1.200 /Mês 
"Rua Tucuna, 283 - Perdizes, São Paulo - SP","Imóvel comercial    para Aluguel, 250",  250,,  3,  4,"['Ar-condicionado', 'Varanda', 'Área de serviço']",   R$ 9.700 /Mês 
"Avenida Santa Catarina, 360 - Jardim Brasil, Araraquara - SP","Casa com 3 Quartos para Aluguel, 177",  177,  3,  3,  2,"['Ar-condicionado', 'Área de serviço', 'Quintal', 'Aceita animais']",   R$ 2.000 /Mês 
"Rua das Gardênias, 7 - Ponta D'areia, São Luís - MA","Sala/Conjunto    para Aluguel, 42",  42,,  1,  1,,   R$ 1.800 /Mês 
"Cidade Jardim Cumbica, Guarulhos - SP","Ponto comercial/Loja/Box    para Aluguel, 60",  60,,  1,  --,,   R$ 1.950 /Mês 
"Vila Santa Cruz, São José do Rio Preto - SP","Sala/Conjunto    para Aluguel, 40",  40,,  1,  2,,   R$ 1.700 /Mês 
"Avenida Érico Veríssimo - Menino Deus, Porto Alegre - RS","Sala/Conjunto    para Venda/Aluguel 57",  57,,  1,  1,"['Elevador', 'Interfone']",   R$ 1.500 /Mês 
"Rua Dorvalina Batista, 103 - Nova Palhoça, Palhoça - SC","Casa com 2 Quartos para Aluguel, 68",  68,  2,  2,  2,,   R$ 1.800 /Mês 
"Avenida Farroupilha - Marechal Rondon, Canoas - RS","Apartamento com 3 Quartos para Venda/Aluguel 76",  76,  3,  2,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Jardim', 'Playground', '...']",   R$ 4.000 /Mês 
"Avenida Henrique Moscoso, 1156 - Centro, Vila Velha - ES","Sala/Conjunto    para Aluguel, 22",  22,,  --,  --,,   R$ 600 /Mês 
"Rua Tenente Rosana Ribeiro Restini, 0 - Ribeirao Verde, Ribeirão Preto - SP","Ponto comercial/Loja/Box    para Aluguel, 40",  40,,  1,  1,['Perto de vias de acesso'],   R$ 1.750 /Mês 
"Jardim Monte Libano, Santo André - SP","Apartamento com 2 Quartos para Aluguel, 50",  50,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Varanda', 'Área de serviço', '...']",   R$ 1.450 /Mês 
"Avenida Alterosa - Parque Turistas, Contagem - MG","Sala/Conjunto    para Aluguel, 20",  20,,  1,  --,,   R$ 600 /Mês 
"Avenida Aldo Borges Leão, 1 - Morada Nova, Uberlândia - MG","Sala/Conjunto    para Aluguel, 42",  42,,  1,  --,,   R$ 500 /Mês 
"Rua Santo André - Boa Vista, São Caetano do Sul - SP","Apartamento com 2 Quartos para Aluguel, 71",  71,  2,  2,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Varanda', '...']",   R$ 3.480 /Mês 
"Santa Mônica, Uberlândia - MG","Apartamento com 3 Quartos para Aluguel, 104",  104,  3,  2,  2,,   R$ 2.500 /Mês 
"Chácaras Reunidas Canadá, Santa Isabel - SP","Fazenda/Sítio/Chácara com 2 Quartos para Aluguel, 1500",  1500,  2,  --,  5,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Quintal', 'Ar-condicionado', '...']",   R$ 1.430 /Mês 
"Santa Mônica, Uberlândia - MG","Apartamento com 2 Quartos para Aluguel, 60",  60,  2,  2,  1,,   R$ 1.100 /Mês 
"Rua Presidente Roosevelt, 416 - Centro, São Leopoldo - RS","Ponto comercial/Loja/Box    para Aluguel, 52",  52,,  1,  --,,   R$ 1.700 /Mês 
"Avenida Moinho Fabrini, 339 - Independência, São Bernardo do Campo - SP","Apartamento com 2 Quartos à Venda/Aluguel 81",  81,  2,  2,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Academia', '...']",   R$ 3.700 /Mês 
"Rua Sinfonia Popular - Jardim Santa Francisca Cabrini, São Paulo - SP","Apartamento com  Quarto para Aluguel, 55",  55,  1,  1,  1,,   R$ 1.650 /Mês 
"Avenida Quinze de Novembro, 413 - Centro, Ferraz de Vasconcelos - SP","Sala/Conjunto    para Aluguel, 54",  54,,  1,  --,,   R$ 1.500 /Mês 
"Rua Apinajés, 445 - Perdizes, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 112",  112,  2,  3,  2,"['Elevador', 'Aceita animais', 'Ar-condicionado', 'Área de serviço', 'Portaria 24h', '...']",   R$ 5.500 /Mês 
"Gleba Fazenda Palhano, Londrina - PR","Apartamento com 3 Quartos para Aluguel, 81",  81,  3,  2,  1,"['Churrasqueira', 'Salão de jogos', 'Salão de festas', 'Armário embutido']",   R$ 2.900 /Mês 
"Vila Diniz, São José do Rio Preto - SP","Casa com 3 Quartos para Aluguel, 100",  100,  3,  1,  1,['Área de serviço'],   R$ 980 /Mês 
"Rua Vera Paranaguá de Souza Dantas, 342 - Jardim Arpoador Zona Oeste, São Paulo - SP","Casa com  Quarto para Aluguel, 50",  50,  1,  1,  1,"['Entrada lateral', 'Ronda/Vigilância', 'Área de serviço', 'Piso frio', 'Aceita animais']",   R$ 1.300 /Mês 
"Rua Maria Otília - Vila Regente Feijó, São Paulo - SP","Apartamento com  Quarto para Aluguel, 43",  43,  1,  1,  1,"['Piscina', 'Mobiliado', 'Elevador', 'Academia', 'Portaria 24h', '...']",   R$ 3.600 /Mês 
"Rua Ibia - Turiaçu, Rio de Janeiro - RJ","Apartamento com 2 Quartos para Aluguel, 62",  62,  2,  2,  1,"['Mobiliado', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Varanda', '...']",   R$ 850 /Mês 
"Rua Fortaleza, 340 - Alto da Glória, Goiânia - GO","Apartamento com 2 Quartos para Aluguel, 78",  78,  2,  3,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Condomínio fechado', '...']",   R$ 4.000 /Mês 
"Rua Pedro Freitas Alves, 0 - Jamil Seme Cury, Ribeirão Preto - SP","Casa com 2 Quartos para Aluguel, 62",  62,  2,  1,  2,"['Cozinha', 'Perto de vias de acesso', 'Área de serviço']",   R$ 1.100 /Mês 
"Avenida Agenor Couto de Magalhães, 222 - Pirituba, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 60",  60,  2,  1,  1,,   R$ 2.500 /Mês 
"Estrada para CATRE - Emaús, Parnamirim - RN","Apartamento com 2 Quartos para Aluguel, 44",  44,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Academia', 'Garagem', '...']",   R$ 1.300 /Mês 
"Rua da Dica, 01 - Nossa Senhora de Aparecida, Manaus - AM","Prédio/Edifício inteiro    para Aluguel, 400",  400,,  --,  --,,   R$ 7.000 /Mês 
"Rua Luís Correia de Melo, 250 - Vila Cruzeiro, São Paulo - SP","Apartamento com  Quarto para Aluguel, 45",  45,  1,  1,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Condomínio fechado', '...']",   R$ 3.600 /Mês 
"Jardim do Shopping, Caxias do Sul - RS","Apartamento com 2 Quartos para Aluguel, 85",  85,  2,  2,  2,"['Cozinha', 'Varanda']",   R$ 1.250 /Mês 
"Rua Antonio Matheus Sobrinho, 145 - Santa Claudina, Vinhedo - SP","Apartamento com 2 Quartos para Venda/Aluguel 88",  88,  2,  2,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Varanda', '...']",   R$ 2.170 /Mês  Preço abaixo do mercado  
"Centro, Valinhos - SP","Sala/Conjunto com 3 Quartos para Venda/Aluguel 129",  129,  3,  4,  2,,   R$ 1.200 /Mês 
"Rua Tucuna, 283 - Perdizes, São Paulo - SP","Imóvel comercial    para Aluguel, 250",  250,,  3,  4,"['Ar-condicionado', 'Varanda', 'Área de serviço']",   R$ 9.700 /Mês 
"Avenida Santa Catarina, 360 - Jardim Brasil, Araraquara - SP","Casa com 3 Quartos para Aluguel, 177",  177,  3,  3,  2,"['Ar-condicionado', 'Área de serviço', 'Quintal', 'Aceita animais']",   R$ 2.000 /Mês 
"Rua das Gardênias, 7 - Ponta D'areia, São Luís - MA","Sala/Conjunto    para Aluguel, 42",  42,,  1,  1,,   R$ 1.800 /Mês 
"Cidade Jardim Cumbica, Guarulhos - SP","Ponto comercial/Loja/Box    para Aluguel, 60",  60,,  1,  --,,   R$ 1.950 /Mês 
"Vila Santa Cruz, São José do Rio Preto - SP","Sala/Conjunto    para Aluguel, 40",  40,,  1,  2,,   R$ 1.700 /Mês 
"Avenida Érico Veríssimo - Menino Deus, Porto Alegre - RS","Sala/Conjunto    para Venda/Aluguel 57",  57,,  1,  1,"['Elevador', 'Interfone']",   R$ 1.500 /Mês 
"Rua Dorvalina Batista, 103 - Nova Palhoça, Palhoça - SC","Casa com 2 Quartos para Aluguel, 68",  68,  2,  2,  2,,   R$ 1.800 /Mês 
"Avenida Farroupilha - Marechal Rondon, Canoas - RS","Apartamento com 3 Quartos para Venda/Aluguel 76",  76,  3,  2,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Jardim', 'Playground', '...']",   R$ 4.000 /Mês 
"Avenida Henrique Moscoso, 1156 - Centro, Vila Velha - ES","Sala/Conjunto    para Aluguel, 22",  22,,  --,  --,,   R$ 600 /Mês 
"Rua Tenente Rosana Ribeiro Restini, 0 - Ribeirao Verde, Ribeirão Preto - SP","Ponto comercial/Loja/Box    para Aluguel, 40",  40,,  1,  1,['Perto de vias de acesso'],   R$ 1.750 /Mês 
"Jardim Monte Libano, Santo André - SP","Apartamento com 2 Quartos para Aluguel, 50",  50,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Varanda', 'Área de serviço', '...']",   R$ 1.450 /Mês 
"Avenida Alterosa - Parque Turistas, Contagem - MG","Sala/Conjunto    para Aluguel, 20",  20,,  1,  --,,   R$ 600 /Mês 
"Avenida Aldo Borges Leão, 1 - Morada Nova, Uberlândia - MG","Sala/Conjunto    para Aluguel, 42",  42,,  1,  --,,   R$ 500 /Mês 
"Rua Santo André - Boa Vista, São Caetano do Sul - SP","Apartamento com 2 Quartos para Aluguel, 71",  71,  2,  2,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Varanda', '...']",   R$ 3.480 /Mês 
"Rua Benedito da Silva, 895 - Jardim Sao Carlos, São Carlos - SP","Casa com 3 Quartos para Aluguel, 200",  200,  3,  1,  --,,   R$ 2.223 /Mês 
"Rua Comendador Miguel Calfat, 128 - Itaim Bibi, São Paulo - SP","Sala/Conjunto    para Aluguel, 25",  25,,  1,  1,"['Ar-condicionado', 'Loja', 'Elevador', 'Aquecimento', 'Escritório']",   R$ 1.200 /Mês 
"Cruzeiro, Belo Horizonte - MG","Apartamento com 3 Quartos para Aluguel, 120",  120,  3,  1,  1,['Área de serviço'],   R$ 2.200 /Mês  Preço abaixo do mercado  
"Rua Francisco Couto Vale, 250 - Petrópolis, Manaus - AM","Casa com 2 Quartos para Aluguel, 150",  150,  2,  1,  --,"['Piscina', 'Churrasqueira', 'Condomínio fechado', 'Espaço gourmet', 'Quadra poliesportiva', '...']",   R$ 1.300 /Mês 
"Travessa Chico Luiz, 37 - Centro, São José dos Campos - SP","Apartamento com 2 Quartos para Aluguel, 74",  74,  2,  1,  --,,   R$ 1.900 /Mês 
"Rua Dona Cecília Santana - Vila Granada, São Paulo - SP","Casa de condomínio com 3 Quartos para Aluguel, 150",  150,  3,  3,  4,"['Garagem', 'Jardim', 'Cozinha', 'Interfone', 'Vista exterior', '...']",   R$ 2.100 /Mês  Preço abaixo do mercado  
"Avenida Rouxinol, 174 - Indianópolis, São Paulo - SP","Flat com  Quarto para Aluguel, 42",  42,  1,  1,  1,"['Piscina', 'Mobiliado', 'Elevador', 'Academia', 'Garagem', '...']",   R$ 2.650 /Mês 
"Vila Santa Angelina, São Bernardo do Campo - SP","Apartamento com 2 Quartos para Aluguel, 49",  49,  2,  1,  1,"['Piscina', 'Playground', 'Salão de festas', 'Quadra poliesportiva', 'Cozinha', '...']",   R$ 1.550 /Mês 
"Rua das Orquídeas, 164 - Jockey, Teresina - PI","Apartamento com  Quarto para Aluguel, 62",  62,  1,  1,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Condomínio fechado', '...']",   R$ 3.800 /Mês 
"Avenida Joaquim Bernardino de Souza, 5644 - Vila Nova Aliança , Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 40",  40,  2,  1,  1,"['Churrasqueira', 'Condomínio fechado', 'Área de serviço', 'Playground', 'Salão de festas', '...']",   R$ 900 /Mês 
"Estrada do Limoeiro, 465 - Jardim Califórnia, Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 45",  45,  2,  1,  1,"['Portão eletrônico', 'Portaria 24h', 'Aceita animais']",   R$ 1.750 /Mês 
"Jardim Roberto, Osasco - SP","Apartamento com 2 Quartos para Aluguel, 52",  52,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Varanda', 'Aceita animais', '...']",   R$ 2.000 /Mês 
"Rua Ali-Babá, 252 - Jardim Gurilândia, Taubaté - SP","Casa com 2 Quartos à Venda/Aluguel 127",  127,  2,  2,  2,"['Ambientes integrados', 'Área de serviço', 'Armário na cozinha']",   R$ 1.500 /Mês 
"Rua Antonieta Leitão, 100 - Freguesia do Ó, São Paulo - SP","Apartamento com 3 Quartos para Aluguel, 85",  85,  3,  3,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Varanda', 'Academia', '...']",   R$ 2.800 /Mês 
"Rua Laranjal do Jari, 200 - Pirituba, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 40",  40,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Aceita animais', '...']",   R$ 1.350 /Mês 
"Avenida São João, 241 - Jardim Esplanada, São José dos Campos - SP","Apartamento com 3 Quartos para Aluguel, 106",  106,  3,  2,  2,"['Piscina', 'Elevador', 'Área de serviço', 'Quadra poliesportiva', 'Escritório', '...']",   R$ 3.100 /Mês  Preço abaixo do mercado  
"Jardim Padovani, Londrina - PR","Sala/Conjunto    para Aluguel, 47",  47,,  1,  --,['Vista para o mar'],   R$ 1.500 /Mês 
"Quinta da Primavera, Ribeirão Preto - SP","Apartamento com 2 Quartos para Aluguel, 90",  90,  2,  1,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Academia', 'Espaço gourmet', '...']",   R$ 3.600 /Mês 
"Estrada Caetano Monteiro, 3711 - Badu, Niterói - RJ","Apartamento com 2 Quartos para Aluguel, 55",  55,  2,  1,  1,"['Condomínio fechado', 'Ar-condicionado', 'Jardim', 'Área de serviço', 'Estacionamento para visitantes', '...']",   R$ 1.400 /Mês 
"Rua Taquarytinga, 170 - Alto da Mooca, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 85",  85,  2,  2,  2,"['Piscina', 'Churrasqueira', 'Condomínio fechado', 'Varanda gourmet', 'Salão de festas', '...']",   R$ 5.500 /Mês 
"Avenida Doutor Bernardo Kaplan, 123 - Parque Brasília, Campinas - SP","Apartamento com 2 Quartos para Aluguel, 73",  73,  2,  2,  1,['Elevador'],   R$ 2.800 /Mês 
"Alameda dos Cardeais, 57 - Caraguata, Mairiporã - SP","Casa com 5 Quartos à Venda/Aluguel 570",  570,  5,  6,  6,"['Piscina', 'Churrasqueira', 'Condomínio fechado', 'Academia', 'Aceita animais', '...']",   R$ 15.000 /Mês 
"Avenida Jamaris, 100 - Moema, São Paulo - SP","Sala/Conjunto    para Aluguel, 31",  31,,  1,  1,"['Aquecimento', 'Ar-condicionado', 'Elevador', 'Escritório']",   R$ 2.300 /Mês 
"Rua Giovanni Battista Pirelli - Vila Homero Thon, Santo André - SP","Sala/Conjunto    para Aluguel, 33",  33,,  1,  1,['Elevador'],   R$ 1.290 /Mês 
"Rua São Diego, 520 - Jardim Califórnia, Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 70",  70,  2,  2,  1,"['Piscina', 'Elevador', 'Condomínio fechado', 'Academia', 'Jardim', '...']",   R$ 2.600 /Mês 
"Rua Hugo Zen, 78 - Colônia Rio Grande, São José dos Pinhais - PR","Apartamento com 2 Quartos para Aluguel, 53",  53,  2,  1,  1,,   R$ 1.200 /Mês 
"Rua Giacinto Tognato, 374 - Baeta Neves, São Bernardo do Campo - SP","Casa com 2 Quartos para Aluguel, 80",  80,  2,  2,  1,,   R$ 1.800 /Mês 
"Avenida Jorge Zarur, 11 - Vila Ema, São José dos Campos - SP","Apartamento com 2 Quartos para Aluguel, 62",  62,  2,  2,  2,,   R$ 3.300 /Mês 
"Avenida Cléo de Verberena, 123 - Villa Branca, Jacareí - SP","Casa com 3 Quartos para Aluguel, 165",  165,  3,  2,  2,,   R$ 3.750 /Mês 
"Rua João Teixeira da Silva, 415 - Vila Invernada, São Paulo - SP","Apartamento com 3 Quartos para Aluguel, 76",  76,  3,  2,  2,"['Piscina', 'Elevador', 'Condomínio fechado', 'Academia', 'Playground', '...']",   R$ 2.800 /Mês 
"Avenida Deputado Sérgio Cardoso de Almeida, 1980 - Jardim Olhos d Agua, Ribeirão Preto - SP","Apartamento com 2 Quartos para Aluguel, 97",  97,  2,  3,  2,"['Aceita animais', 'Ar-condicionado', 'Área de serviço', 'Varanda gourmet', 'Cozinha', '...']",   R$ 4.800 /Mês 
"Estrada do Limoeiro, 36 - Jardim Califórnia, Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 45",  45,  2,  1,  1,"['Mobiliado', 'Condomínio fechado', 'Aceita animais', 'Playground', 'Portaria 24h', '...']",   R$ 1.750 /Mês 
"Campos Eliseos, Ribeirão Preto - SP","Casa com 2 Quartos para Aluguel, 66",  66,  2,  1,  1,"['Aceita animais', 'Lareira']",   R$ 1.200 /Mês 
"Rua Olívia Menelau, 207 - Imbiribeira, Recife - PE","Apartamento com 3 Quartos para Aluguel, 100",  100,  3,  3,  1,,   R$ 2.000 /Mês 
"Rua Cândido Fontoura, 1001 - Butantã, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 46",  46,  2,  1,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Academia', '...']",   R$ 1.700 /Mês 
"Rua Batista de Oliveira, 1398 - Granbery, Juiz de Fora - MG","Apartamento com 3 Quartos para Aluguel, 127",  127,  3,  2,  1,"['Cozinha', 'Elevador', 'Interfone', 'Varanda', 'Área de serviço']",   R$ 1.520 /Mês 
"Chácaras Reunidas Canadá, Santa Isabel - SP","Fazenda/Sítio/Chácara com 2 Quartos para Aluguel, 1500",  1500,  2,  --,  5,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Quintal', 'Ar-condicionado', '...']",   R$ 1.430 /Mês 
"Rua Tolentino Filgueiras - Gonzaga, Santos - SP","Apartamento com  Quarto para Aluguel, 52",  52,  1,  1,  1,"['Churrasqueira', 'Elevador', 'Garagem', 'Ar-condicionado', 'Playground', '...']",   R$ 4.600 /Mês 
"Rua Joaquim Achaval, 35 - Jardim Ipanema, São Paulo - SP","Casa com 3 Quartos para Aluguel, 100",  100,  3,  2,  1,,   R$ 1.800 /Mês 
